order_id,order_number,order_date,customer_id,discount,last_updated_at
60,CA-2018-103940,2018-09-17,96,0.05,2024-12-13
61,CA-2018-103989,2018-03-19,491,0.27,2024-12-13
62,CA-2018-104178,2018-08-25,391,0,2024-12-13
63,CA-2018-104269,2018-03-01,191,0.2,2024-12-13
64,CA-2018-104283,2018-06-27,466,0,2024-12-13
65,CA-2018-104402,2018-06-17,199,0,2024-12-13
66,CA-2018-104472,2018-06-02,149,0.1,2024-12-13
67,CA-2018-104563,2018-03-07,164,0.1,2024-12-13
68,CA-2018-104738,2018-12-30,708,0.32,2024-12-13
69,CA-2018-104773,2018-12-08,733,0.2,2024-12-13
70,CA-2018-104780,2018-05-21,115,0,2024-12-13
71,CA-2018-104808,2018-02-04,511,0.2,2024-12-13
72,CA-2018-104829,2018-11-18,368,0,2024-12-13
73,CA-2018-104976,2018-12-09,151,0,2024-12-13
74,CA-2018-105165,2018-09-07,730,0.34,2024-12-13
75,CA-2018-105172,2018-04-04,597,0,2024-12-13
76,CA-2018-105249,2018-11-28,207,0.05,2024-12-13
77,CA-2018-105270,2018-11-11,45,0.1,2024-12-13
78,CA-2018-105340,2018-11-22,263,0.8,2024-12-13
79,CA-2018-105417,2018-01-07,785,0.7,2024-12-13
80,CA-2018-105648,2018-03-03,265,0.2,2024-12-13
81,CA-2018-105872,2018-05-30,366,0.2,2024-12-13
82,CA-2018-105893,2018-11-11,598,0,2024-12-13
83,CA-2018-105984,2018-11-24,550,0.35,2024-12-13
84,CA-2018-106054,2018-01-06,397,0,2024-12-13
85,CA-2018-106229,2018-06-07,575,0.5,2024-12-13
86,CA-2018-106264,2018-12-26,150,0,2024-12-13
87,CA-2018-106376,2018-12-05,107,0.2,2024-12-13
88,CA-2018-106439,2018-10-31,298,0.07,2024-12-13
89,CA-2018-106572,2018-09-05,574,0.2,2024-12-13
90,CA-2018-106719,2018-08-24,626,0.2,2024-12-13
91,CA-2018-106726,2018-12-06,659,0,2024-12-13
92,CA-2018-106803,2018-12-29,201,0,2024-12-13
93,CA-2018-106810,2018-05-14,38,0.2,2024-12-13
94,CA-2018-106971,2018-09-02,94,0.2,2024-12-13
95,CA-2018-107139,2018-07-05,235,0.2,2024-12-13
96,CA-2018-107153,2018-09-28,316,0,2024-12-13
97,CA-2018-107181,2018-02-04,194,0.1,2024-12-13
98,CA-2018-107398,2018-08-25,107,0.7,2024-12-13
99,CA-2018-107454,2018-11-02,634,0,2024-12-13
100,CA-2018-107524,2018-03-02,442,0,2024-12-13
101,CA-2018-107573,2018-12-12,585,0.2,2024-12-13
102,CA-2018-107594,2018-07-02,259,0,2024-12-13
103,CA-2018-107706,2018-02-14,719,0.2,2024-12-13
104,CA-2018-107755,2018-02-07,151,0,2024-12-13
105,CA-2018-107769,2018-10-28,112,0,2024-12-13
106,CA-2018-107811,2018-04-29,448,0.2,2024-12-13
107,CA-2018-107818,2018-09-08,487,0.05,2024-12-13
108,CA-2018-107916,2018-08-24,400,0.1,2024-12-13
109,CA-2018-108147,2018-06-08,631,0.1,2024-12-13
110,CA-2018-108182,2018-02-06,220,0.8,2024-12-13
111,CA-2018-108189,2018-10-02,279,0.2,2024-12-13
112,CA-2018-108273,2018-12-16,264,0.4,2024-12-13
113,CA-2018-108609,2018-10-31,37,0.4,2024-12-13
114,CA-2018-108707,2018-10-24,189,0.2,2024-12-13
115,CA-2018-108861,2018-05-28,525,0.2,2024-12-13
116,CA-2018-108903,2018-10-03,229,0.2,2024-12-13
117,CA-2018-109043,2018-08-15,178,0.2,2024-12-13
118,CA-2018-109127,2018-12-21,347,0,2024-12-13
119,CA-2018-109134,2018-11-05,203,0,2024-12-13
120,CA-2018-109218,2018-06-30,51,0,2024-12-13
121,CA-2018-109232,2018-01-13,559,0,2024-12-13
122,CA-2018-109302,2018-08-12,176,0,2024-12-13
123,CA-2018-109491,2018-02-20,453,0,2024-12-13
124,CA-2018-109680,2018-10-06,784,0,2024-12-13
125,CA-2018-109855,2018-09-01,462,0.1,2024-12-13
126,CA-2018-109890,2018-07-21,592,0,2024-12-13
127,CA-2018-109897,2018-08-12,120,0.1,2024-12-13
128,CA-2018-109904,2018-07-14,79,0,2024-12-13
129,CA-2018-109918,2018-09-07,471,0.07,2024-12-13
130,CA-2018-109932,2018-12-09,784,0.2,2024-12-13
131,CA-2018-110030,2018-12-06,460,0.6,2024-12-13
132,CA-2018-110065,2018-08-05,709,0,2024-12-13
133,CA-2018-110072,2018-10-22,504,0.2,2024-12-13
134,CA-2018-110100,2018-04-25,452,0.2,2024-12-13
135,CA-2018-110184,2018-07-12,83,0.1,2024-12-13
136,CA-2018-110219,2018-05-05,250,0.3,2024-12-13
137,CA-2018-110352,2018-11-23,256,0.2,2024-12-13
138,CA-2018-110408,2018-10-18,55,0,2024-12-13
139,CA-2018-110422,2018-01-21,738,0.2,2024-12-13
140,CA-2018-110527,2018-08-09,256,0,2024-12-13
141,CA-2018-110555,2018-04-11,527,0.07,2024-12-13
142,CA-2018-110611,2018-10-06,351,0.2,2024-12-13
143,CA-2018-110639,2018-08-23,643,0,2024-12-13
144,CA-2018-110786,2018-12-29,38,0.09,2024-12-13
145,CA-2018-110849,2018-04-18,388,0.05,2024-12-13
146,CA-2018-111003,2018-06-01,169,0,2024-12-13
147,CA-2018-111059,2018-02-03,738,0.2,2024-12-13
148,CA-2018-111150,2018-12-31,662,0,2024-12-13
149,CA-2018-111157,2018-03-02,566,0.2,2024-12-13
150,CA-2018-111192,2018-07-30,766,0,2024-12-13
151,CA-2018-111360,2018-11-24,59,0.7,2024-12-13
152,CA-2018-111451,2018-12-26,434,0.3,2024-12-13
153,CA-2018-111500,2018-08-17,209,0,2024-12-13
154,CA-2018-111773,2018-06-29,379,0.2,2024-12-13
155,CA-2018-111857,2018-04-23,569,0,2024-12-13
156,CA-2018-111871,2018-03-18,266,0.15,2024-12-13
157,CA-2018-111899,2018-05-04,555,0.2,2024-12-13
158,CA-2018-111934,2018-05-05,297,0,2024-12-13
159,CA-2018-111962,2018-09-29,254,0.1,2024-12-13
160,CA-2018-112158,2018-12-02,233,0.13,2024-12-13
161,CA-2018-112291,2018-04-03,427,0,2024-12-13
162,CA-2018-112326,2018-01-04,606,0.4,2024-12-13
163,CA-2018-112403,2018-03-31,398,0.7,2024-12-13
164,CA-2018-112718,2018-12-16,441,0.7,2024-12-13
165,CA-2018-112837,2018-09-11,481,0,2024-12-13
166,CA-2018-112851,2018-09-17,575,0,2024-12-13
167,CA-2018-113047,2018-10-24,45,0,2024-12-13
168,CA-2018-113166,2018-12-24,460,0.2,2024-12-13
169,CA-2018-113257,2018-12-16,673,0.4,2024-12-13
170,CA-2018-113271,2018-07-09,238,0.09,2024-12-13
171,CA-2018-113320,2018-12-12,464,0,2024-12-13
172,CA-2018-113362,2018-09-14,40,0,2024-12-13
173,CA-2018-113383,2018-09-10,685,0,2024-12-13
174,CA-2018-113579,2018-12-13,424,0,2024-12-13
175,CA-2018-113768,2018-05-13,28,0.1,2024-12-13
176,CA-2018-113859,2018-09-13,67,0.3,2024-12-13
177,CA-2018-113880,2018-03-01,778,0.25,2024-12-13
178,CA-2018-113887,2018-04-05,753,0,2024-12-13
179,CA-2018-113929,2018-06-16,148,0.07,2024-12-13
180,CA-2018-113964,2018-09-23,402,0.2,2024-12-13
181,CA-2018-114125,2018-07-09,299,0.07,2024-12-13
182,CA-2018-114181,2018-05-10,18,0.35,2024-12-13
183,CA-2018-114195,2018-11-01,246,0.53,2024-12-13
184,CA-2018-114251,2018-11-05,496,0.3,2024-12-13
185,CA-2018-114314,2018-10-11,197,0,2024-12-13
186,CA-2018-114321,2018-08-20,557,0,2024-12-13
187,CA-2018-114335,2018-09-28,789,0.2,2024-12-13
188,CA-2018-114433,2018-05-13,571,0,2024-12-13
189,CA-2018-114510,2018-03-14,360,0.08,2024-12-13
190,CA-2018-114517,2018-12-23,752,0.2,2024-12-13
191,CA-2018-114643,2018-06-13,287,0,2024-12-13
192,CA-2018-114790,2018-03-11,287,0,2024-12-13
193,CA-2018-115049,2018-09-26,526,0.2,2024-12-13
194,CA-2018-115056,2018-05-02,48,0.2,2024-12-13
195,CA-2018-115084,2018-10-18,474,0,2024-12-13
196,CA-2018-115133,2018-09-26,188,0.2,2024-12-13
197,CA-2018-115161,2018-01-31,455,0.15,2024-12-13
198,CA-2018-115259,2018-08-25,630,0.2,2024-12-13
199,CA-2018-115336,2018-11-18,11,0.8,2024-12-13
200,CA-2018-115357,2018-08-06,641,0,2024-12-13
201,CA-2018-115791,2018-01-16,220,0.38,2024-12-13
202,CA-2018-115812,2018-06-09,89,0.11,2024-12-13
203,CA-2018-115889,2018-11-02,693,0.1,2024-12-13
204,CA-2018-115973,2018-11-24,565,0.2,2024-12-13
205,CA-2018-115980,2018-07-15,787,0,2024-12-13
206,CA-2018-116190,2018-07-26,689,0,2024-12-13
207,CA-2018-116239,2018-03-04,153,0,2024-12-13
208,CA-2018-116246,2018-09-12,482,0.1,2024-12-13
209,CA-2018-116407,2018-11-15,359,0.2,2024-12-13
210,CA-2018-116568,2018-12-14,94,0.2,2024-12-13
211,CA-2018-116666,2018-05-08,445,0.4,2024-12-13
212,CA-2018-116673,2018-12-15,398,0,2024-12-13
213,CA-2018-116757,2018-06-30,542,0.2,2024-12-13
214,CA-2018-116785,2018-04-26,510,0,2024-12-13
215,CA-2018-116834,2018-10-11,234,0,2024-12-13
216,CA-2018-116904,2018-09-23,670,0,2024-12-13
217,CA-2018-116932,2018-07-21,500,0.13,2024-12-13
218,CA-2018-117016,2018-03-04,670,0.2,2024-12-13
219,CA-2018-117317,2018-10-19,363,0,2024-12-13
220,CA-2018-117345,2018-08-01,79,0.2,2024-12-13
221,CA-2018-117429,2018-10-07,536,0.2,2024-12-13
222,CA-2018-117464,2018-07-22,571,0.1,2024-12-13
223,CA-2018-117478,2018-09-21,461,0.7,2024-12-13
224,CA-2018-117639,2018-05-21,548,0,2024-12-13
225,CA-2018-117709,2018-05-04,600,0,2024-12-13
226,CA-2018-117765,2018-09-07,624,0,2024-12-13
227,CA-2018-118192,2018-01-13,526,0.45,2024-12-13
228,CA-2018-118276,2018-12-29,507,0.6,2024-12-13
229,CA-2018-118304,2018-04-29,430,0,2024-12-13
230,CA-2018-118339,2018-03-17,96,0,2024-12-13
231,CA-2018-118962,2018-08-05,175,0.07,2024-12-13
232,CA-2018-118976,2018-04-28,550,0,2024-12-13
233,CA-2018-119032,2018-11-27,540,0,2024-12-13
234,CA-2018-119144,2018-11-16,353,0.12,2024-12-13
235,CA-2018-119151,2018-11-25,535,0.1,2024-12-13
236,CA-2018-119172,2018-05-11,319,0.5,2024-12-13
237,CA-2018-119375,2018-11-17,790,0,2024-12-13
238,CA-2018-119466,2018-12-15,710,0.6,2024-12-13
239,CA-2018-119529,2018-11-03,226,0,2024-12-13
240,CA-2018-119977,2018-10-08,228,0,2024-12-13
241,CA-2018-120096,2018-07-04,427,0.2,2024-12-13
242,CA-2018-120243,2018-12-27,59,0,2024-12-13
243,CA-2018-120278,2018-11-07,537,0,2024-12-13
244,CA-2018-120411,2018-09-20,666,0.25,2024-12-13
245,CA-2018-120432,2018-08-24,245,0,2024-12-13
246,CA-2018-120474,2018-12-01,654,0,2024-12-13
247,CA-2018-120544,2018-11-23,714,0.53,2024-12-13
248,CA-2018-120670,2018-11-02,383,0.2,2024-12-13
249,CA-2018-120768,2018-12-19,339,0,2024-12-13
250,CA-2018-120775,2018-10-03,637,0.4,2024-12-13
251,CA-2018-120838,2018-03-23,604,0.1,2024-12-13
252,CA-2018-120852,2018-12-20,788,0.5,2024-12-13
253,CA-2018-120887,2018-09-27,763,0,2024-12-13
254,CA-2018-120950,2018-11-06,293,0,2024-12-13
255,CA-2018-121006,2018-11-10,668,0,2024-12-13
256,CA-2018-121167,2018-11-28,530,0.2,2024-12-13
257,CA-2018-121286,2018-11-04,580,0.2,2024-12-13
258,CA-2018-121573,2018-11-03,690,0.13,2024-12-13
259,CA-2018-121629,2018-11-28,116,0.4,2024-12-13
260,CA-2018-121664,2018-05-06,331,0.2,2024-12-13
261,CA-2018-121727,2018-08-19,379,0.2,2024-12-13
262,CA-2018-121762,2018-02-14,520,0,2024-12-13
263,CA-2018-121769,2018-04-08,408,0.4,2024-12-13
264,CA-2018-122070,2018-04-22,28,0.1,2024-12-13
265,CA-2018-122217,2018-11-24,331,0,2024-12-13
266,CA-2018-122336,2018-04-13,350,0.38,2024-12-13
267,CA-2018-122567,2018-02-16,529,0.8,2024-12-13
268,CA-2018-122588,2018-11-25,49,0,2024-12-13
269,CA-2018-122609,2018-11-12,231,0.4,2024-12-13
270,CA-2018-122679,2018-07-22,10,0,2024-12-13
271,CA-2018-122749,2018-12-03,565,0,2024-12-13
272,CA-2018-122882,2018-09-07,667,0.38,2024-12-13
273,CA-2018-122931,2018-09-29,703,0.27,2024-12-13
274,CA-2018-123064,2018-06-30,619,0.2,2024-12-13
275,CA-2018-123127,2018-09-08,708,0,2024-12-13
276,CA-2018-123225,2018-07-11,529,0.2,2024-12-13
277,CA-2018-123253,2018-08-22,203,0.2,2024-12-13
278,CA-2018-123260,2018-08-26,288,0,2024-12-13
279,CA-2018-123295,2018-07-18,30,0.2,2024-12-13
280,CA-2018-123316,2018-10-13,707,0.2,2024-12-13
281,CA-2018-123323,2018-11-07,462,0.2,2024-12-13
282,CA-2018-123344,2018-09-24,352,0,2024-12-13
283,CA-2018-123400,2018-02-02,251,0.45,2024-12-13
284,CA-2018-123477,2018-01-18,242,0.2,2024-12-13
285,CA-2018-123498,2018-11-07,742,0.5,2024-12-13
286,CA-2018-123855,2018-06-18,494,0.2,2024-12-13
287,CA-2018-123925,2018-12-17,642,0,2024-12-13
288,CA-2018-124023,2018-04-07,596,0,2024-12-13
289,CA-2018-124079,2018-12-13,640,0.45,2024-12-13
290,CA-2018-124247,2018-12-16,694,0.2,2024-12-13
291,CA-2018-124394,2018-10-17,739,0.5,2024-12-13
292,CA-2018-124429,2018-05-27,514,0.1,2024-12-13
293,CA-2018-124464,2018-07-14,716,0,2024-12-13
294,CA-2018-124478,2018-08-08,483,0.02,2024-12-13
295,CA-2018-124513,2018-09-21,699,0,2024-12-13
296,CA-2018-124618,2018-05-02,173,0.2,2024-12-13
297,CA-2018-124646,2018-06-22,241,0,2024-12-13
298,CA-2018-124688,2018-08-27,136,0,2024-12-13
299,CA-2018-124702,2018-11-18,514,0,2024-12-13
300,CA-2018-124709,2018-07-27,314,0,2024-12-13
301,CA-2018-124723,2018-08-05,315,0.3,2024-12-13
302,CA-2018-124730,2018-11-26,476,0.08,2024-12-13
303,CA-2018-124737,2018-08-23,45,0.2,2024-12-13
304,CA-2018-124807,2018-07-12,499,0.2,2024-12-13
305,CA-2018-124856,2018-09-29,458,0,2024-12-13
306,CA-2018-125136,2018-09-28,425,0.2,2024-12-13
307,CA-2018-125150,2018-05-16,614,0.2,2024-12-13
308,CA-2018-125171,2018-09-03,22,0,2024-12-13
309,CA-2018-125514,2018-09-21,93,0,2024-12-13
310,CA-2018-125542,2018-12-05,554,0.2,2024-12-13
311,CA-2018-125556,2018-11-14,521,0,2024-12-13
312,CA-2018-125612,2018-08-03,90,0,2024-12-13
313,CA-2018-125682,2018-11-22,626,0,2024-12-13
314,CA-2018-125731,2018-09-10,153,0.2,2024-12-13
315,CA-2018-125759,2018-02-08,569,0,2024-12-13
316,CA-2018-125829,2018-11-04,788,0.16,2024-12-13
317,CA-2018-125997,2018-09-20,547,0.05,2024-12-13
318,CA-2018-126032,2018-06-23,108,0.2,2024-12-13
319,CA-2018-126193,2018-09-07,715,0.6,2024-12-13
320,CA-2018-126200,2018-08-25,356,0.8,2024-12-13
321,CA-2018-126277,2018-09-13,462,0.7,2024-12-13
322,CA-2018-126333,2018-12-23,500,0.2,2024-12-13
323,CA-2018-126361,2018-08-04,777,0.07,2024-12-13
324,CA-2018-126403,2018-09-09,657,0,2024-12-13
325,CA-2018-126480,2018-09-20,323,0,2024-12-13
326,CA-2018-126522,2018-09-01,477,0,2024-12-13
327,CA-2018-126683,2018-09-29,607,0,2024-12-13
328,CA-2018-126760,2018-07-26,439,0.1,2024-12-13
329,CA-2018-126802,2018-12-29,792,0.6,2024-12-13
330,CA-2018-126907,2018-11-01,703,0.2,2024-12-13
331,CA-2018-126963,2018-06-15,609,0.2,2024-12-13
332,CA-2018-127012,2018-08-11,307,0,2024-12-13
333,CA-2018-127131,2018-11-24,333,0.05,2024-12-13
334,CA-2018-127159,2018-05-12,328,0,2024-12-13
335,CA-2018-127166,2018-05-21,430,0.38,2024-12-13
336,CA-2018-127187,2018-12-04,166,0,2024-12-13
337,CA-2018-127299,2018-09-19,388,0.35,2024-12-13
338,CA-2018-127383,2018-12-31,155,0.2,2024-12-13
339,CA-2018-127446,2018-11-25,490,0.28,2024-12-13
340,CA-2018-127488,2018-09-22,537,0.2,2024-12-13
341,CA-2018-127523,2018-05-11,87,0,2024-12-13
342,CA-2018-127558,2018-11-15,715,0,2024-12-13
343,CA-2018-127586,2018-09-26,179,0,2024-12-13
344,CA-2018-127614,2018-02-11,561,0,2024-12-13
345,CA-2018-127691,2018-07-22,271,0,2024-12-13
346,CA-2018-127859,2018-03-17,616,0.2,2024-12-13
347,CA-2018-127866,2018-07-20,350,0,2024-12-13
348,CA-2018-127936,2018-09-02,153,0,2024-12-13
349,CA-2018-127964,2018-03-03,44,0.13,2024-12-13
350,CA-2018-128055,2018-03-31,1,0.1,2024-12-13
351,CA-2018-128062,2018-11-19,16,0.2,2024-12-13
352,CA-2018-128146,2018-06-21,191,0,2024-12-13
353,CA-2018-128209,2018-11-17,312,0.2,2024-12-13
354,CA-2018-128237,2018-03-25,123,0,2024-12-13
355,CA-2018-128524,2018-11-11,552,0.07,2024-12-13
356,CA-2018-128538,2018-10-11,56,0,2024-12-13
357,CA-2018-128622,2018-11-15,672,0,2024-12-13
358,CA-2018-128839,2018-09-08,770,0,2024-12-13
359,CA-2018-128846,2018-04-07,659,0,2024-12-13
360,CA-2018-128888,2018-11-15,584,0.2,2024-12-13
361,CA-2018-128986,2018-08-03,299,0.2,2024-12-13
362,CA-2018-129091,2018-11-22,618,0,2024-12-13
363,CA-2018-129147,2018-11-02,455,0.5,2024-12-13
364,CA-2018-129168,2018-08-17,418,0.2,2024-12-13
365,CA-2018-129189,2018-07-21,329,0.53,2024-12-13
366,CA-2018-129364,2018-12-08,735,0.26,2024-12-13
367,CA-2018-129574,2018-05-26,234,0,2024-12-13
368,CA-2018-129819,2018-12-13,422,0,2024-12-13
369,CA-2018-129924,2018-07-12,12,0.2,2024-12-13
370,CA-2018-129938,2018-12-15,247,0.3,2024-12-13
371,CA-2018-130092,2018-01-11,721,0,2024-12-13
372,CA-2018-130155,2018-05-19,747,0,2024-12-13
373,CA-2018-130274,2018-05-03,409,0,2024-12-13
374,CA-2018-130421,2018-03-03,668,0.8,2024-12-13
375,CA-2018-130428,2018-03-31,749,0.37,2024-12-13
376,CA-2018-130449,2018-09-06,784,0,2024-12-13
377,CA-2018-130575,2018-12-14,172,0.8,2024-12-13
378,CA-2018-130624,2018-06-21,736,0,2024-12-13
379,CA-2018-130673,2018-05-20,490,0.3,2024-12-13
380,CA-2018-130729,2018-10-24,2,0.2,2024-12-13
381,CA-2018-130813,2018-01-06,475,0,2024-12-13
382,CA-2018-130869,2018-11-17,126,0.2,2024-12-13
383,CA-2018-130918,2018-08-22,401,0.2,2024-12-13
384,CA-2018-130960,2018-12-30,419,0,2024-12-13
385,CA-2018-131002,2018-09-07,738,0,2024-12-13
386,CA-2018-131009,2018-03-01,674,0.33,2024-12-13
387,CA-2018-131051,2018-12-01,760,0,2024-12-13
388,CA-2018-131247,2018-03-30,294,0.15,2024-12-13
389,CA-2018-131310,2018-07-12,153,0.2,2024-12-13
390,CA-2018-131387,2018-04-28,36,0.2,2024-12-13
391,CA-2018-131450,2018-08-08,470,0.1,2024-12-13
392,CA-2018-131527,2018-12-01,736,0.2,2024-12-13
393,CA-2018-131541,2018-07-28,148,0.2,2024-12-13
394,CA-2018-131800,2018-12-30,40,0.1,2024-12-13
395,CA-2018-131905,2018-02-06,560,0,2024-12-13
396,CA-2018-131926,2018-06-01,243,0,2024-12-13
397,CA-2018-131947,2018-09-17,340,0.28,2024-12-13
398,CA-2018-132010,2018-10-13,484,0,2024-12-13
399,CA-2018-132227,2018-11-04,730,0.2,2024-12-13
400,CA-2018-132451,2018-09-26,428,0.1,2024-12-13
401,CA-2018-132500,2018-09-08,315,0,2024-12-13
402,CA-2018-132542,2018-10-06,41,0,2024-12-13
403,CA-2018-132612,2018-06-09,290,0,2024-12-13
404,CA-2018-132787,2018-09-19,495,0,2024-12-13
405,CA-2018-132801,2018-10-07,368,0.2,2024-12-13
406,CA-2018-132864,2018-12-02,440,0.2,2024-12-13
407,CA-2018-132913,2018-12-24,53,0,2024-12-13
408,CA-2018-132962,2018-09-13,392,0.2,2024-12-13
409,CA-2018-132983,2018-04-28,239,0,2024-12-13
410,CA-2018-133158,2018-08-19,242,0.1,2024-12-13
411,CA-2018-133228,2018-04-04,539,0,2024-12-13
412,CA-2018-133270,2018-06-06,94,0,2024-12-13
413,CA-2018-133305,2018-07-11,512,0.1,2024-12-13
414,CA-2018-133354,2018-02-22,664,0,2024-12-13
415,CA-2018-133389,2018-06-22,736,0.7,2024-12-13
416,CA-2018-133424,2018-03-30,223,0,2024-12-13
417,CA-2018-133543,2018-12-22,438,0,2024-12-13
418,CA-2018-133592,2018-12-31,437,0,2024-12-13
419,CA-2018-133634,2018-11-05,713,0,2024-12-13
420,CA-2018-133690,2018-08-03,109,0.35,2024-12-13
421,CA-2018-133704,2018-09-20,484,0.1,2024-12-13
422,CA-2018-133753,2018-06-09,186,0.2,2024-12-13
423,CA-2018-133809,2018-11-18,538,0.55,2024-12-13
424,CA-2018-133830,2018-12-05,648,0,2024-12-13
425,CA-2018-133851,2018-06-09,162,0,2024-12-13
426,CA-2018-133963,2018-05-18,293,0.2,2024-12-13
427,CA-2018-134061,2018-04-29,465,0,2024-12-13
428,CA-2018-134103,2018-01-30,546,0,2024-12-13
429,CA-2018-134215,2018-08-04,520,0,2024-12-13
430,CA-2018-134278,2018-07-06,276,0.2,2024-12-13
431,CA-2018-134313,2018-11-01,619,0.2,2024-12-13
432,CA-2018-134551,2018-12-20,767,0.2,2024-12-13
433,CA-2018-134572,2018-04-20,721,0.27,2024-12-13
434,CA-2018-134621,2018-12-21,235,0.7,2024-12-13
435,CA-2018-134677,2018-10-06,789,0,2024-12-13
436,CA-2018-134726,2018-11-02,729,0.1,2024-12-13
437,CA-2018-135090,2018-11-22,711,0,2024-12-13
438,CA-2018-135405,2018-01-09,541,0.2,2024-12-13
439,CA-2018-135608,2018-12-08,379,0.1,2024-12-13
440,CA-2018-135657,2018-06-03,679,0,2024-12-13
441,CA-2018-135699,2018-08-29,325,0,2024-12-13
442,CA-2018-135755,2018-05-03,556,0.2,2024-12-13
443,CA-2018-135993,2018-05-28,595,0.1,2024-12-13
444,CA-2018-136280,2018-11-29,165,0.2,2024-12-13
445,CA-2018-136336,2018-04-21,197,0,2024-12-13
446,CA-2018-136399,2018-12-16,129,0.1,2024-12-13
447,CA-2018-136567,2018-12-20,611,0,2024-12-13
448,CA-2018-136644,2018-06-16,676,0,2024-12-13
449,CA-2018-136742,2018-04-06,309,0.7,2024-12-13
450,CA-2018-136861,2018-09-05,608,0.2,2024-12-13
451,CA-2018-137092,2018-10-20,473,0.32,2024-12-13
452,CA-2018-137274,2018-03-29,508,0.3,2024-12-13
453,CA-2018-137351,2018-09-30,198,0.2,2024-12-13
454,CA-2018-137575,2018-08-06,741,0,2024-12-13
455,CA-2018-137589,2018-11-03,540,0.2,2024-12-13
456,CA-2018-137911,2018-10-09,100,0.2,2024-12-13
457,CA-2018-138023,2018-08-15,431,0.8,2024-12-13
458,CA-2018-138072,2018-12-30,294,0.2,2024-12-13
459,CA-2018-138100,2018-09-15,1,0,2024-12-13
460,CA-2018-138128,2018-12-09,291,0.3,2024-12-13
461,CA-2018-138177,2018-09-19,560,0.5,2024-12-13
462,CA-2018-138198,2018-07-18,384,0.2,2024-12-13
